,app_name,run_id,hostname,device_group,sensor,unit,magnitude,timestep,value
55,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,55.278503,2.6
56,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,56.28236,2.6
57,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,57.28644,2.5
58,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,58.2904,2.5
59,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,59.294384,2.6
60,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,60.298824,2.5
61,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,61.30295,2.5
62,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,62.306995,2.9
63,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,63.31158,3.3
64,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,64.31575,2.7
65,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,65.31991,2.7
66,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,66.32372,2.5
67,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,67.3277,2.6
68,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,68.33175,2.5
69,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,69.33591,2.5
70,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,70.342285,2.5
71,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,71.346344,2.5
72,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,72.350266,2.6
73,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,73.35435,2.5
74,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,74.35854,2.6
75,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,75.362656,2.8
76,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,76.36664,2.5
77,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,77.372696,2.6
78,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,78.37696,2.6
79,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,79.38102,2.6
80,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,80.384995,2.7
81,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,81.38964,2.6
82,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,82.39361,2.6
83,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,83.3977,2.6
84,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,84.403015,2.5
85,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,85.40698,2.8
86,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,86.41128,2.5
87,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,87.41531,2.6
88,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,88.41948,2.6
89,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,89.42425,2.7
90,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,90.42827,2.8
91,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,91.43295,2.6
92,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,92.43894,2.6
93,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,93.443054,2.7
94,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,94.44739,2.6
95,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,95.45172,2.7
96,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,96.455475,2.6
97,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,97.45964,2.6
98,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,98.46355,2.7
99,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,99.468544,2.5
100,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,100.47254,2.6
101,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,101.47659,2.6
102,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,102.480515,2.8
103,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,103.48457,2.8
104,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,104.48848,2.6
105,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,105.492455,2.7
106,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,106.49819,2.6
107,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,107.50213,2.5
108,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,108.50627,2.9
109,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,109.51049,2.8
110,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,110.514496,2.5
111,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,111.51867,2.7
112,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,112.52281,2.7
113,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,113.52677,2.6
114,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,114.530754,2.6
115,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,115.53468,2.6
116,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,116.53859,2.8
117,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,117.54266,2.6
118,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,118.54666,2.6
119,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,119.55201,2.6
120,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,120.55597,2.5
121,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,121.56008,2.7
122,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,122.564316,3.0
123,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,123.56955,3.3
124,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,124.573586,2.9
125,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,125.57768,2.8
126,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,126.58279,2.7
127,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,127.58694,2.6
128,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,128.59207,2.6
129,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,129.5963,2.7
130,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,130.60083,2.6
131,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,131.60532,2.9
132,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,132.60936,5.8
133,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,133.61412,2.5
134,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,134.61913,4.5
135,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,135.62332,13.1
136,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,136.62758,5.7
137,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,137.63211,4.0
138,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,138.63693,2.5
139,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,139.64207,2.5
140,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,140.64719,2.6
141,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,141.65189,2.4
142,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,142.65636,2.6
143,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,143.66072,2.4
144,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,144.66531,2.4
145,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,145.67007,2.7
146,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,146.67499,2.5
147,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,147.68,2.6
148,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,148.6847,2.5
149,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,149.68874,2.3
150,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,150.69373,2.6
151,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,151.6995,2.5
152,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,152.70566,2.6
153,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,153.71033,2.5
154,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,154.71469,2.4
155,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,155.71945,2.7
156,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,156.72401,2.4
157,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,157.72855,2.7
158,transformer,764751,a0701.nhr.fau.de,cpu,CPU_USAGE,%,1.0,158.7334,2.6
